Name,State,Latitude,Longitude,Status,Commodity Group
Daisy Milano,WA,-31.0133,121.9224,Operating mine,"Precious metals - Au, Ag, PGE"
Dalgaranga,WA,-27.84617,117.265297,Care and Maintenance,"Precious metals - Au, Ag, PGE"
Dargues Reef,NSW,-35.538216,149.747189,Operating mine,"Precious metals - Au, Ag, PGE"
Darlot,WA,-27.8875,121.2689,Operating mine,"Precious metals - Au, Ag, PGE"
Daunia,QLD,-22.043993,148.288546,Operating mine,Coal
Davyhurst,WA,-30.0362,120.6706,Operating mine,"Precious metals - Au, Ag, PGE"
Dawson,QLD,-24.616826,150.059238,Operating mine,Coal
Deflector,WA,-28.6691,116.3796,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
DeGrussa,WA,-25.5406,119.3281,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Dendrobium,NSW,-34.37685,150.759992,Operating mine,Coal
Devon,WA,-29.2847,122.4482,Care and maintenance,"Precious metals - Au, Ag, PGE"
Dhupuma,NT,-12.38,136.82,Operating mine,Bauxite
Dolphin,TAS,-40.05334,144.05868,Developing mine,"Other metals - Sn, W, Ta, Ti"
Donald,VIC,-36.49918,142.78148,Developing mine,"Heavy mineral sands - Ti, Zr, REE"
Donaldson,NSW,-32.792984,151.576508,Care and maintenance,Coal
Drake,QLD,-20.708,147.816,Operating mine,Coal
Dubbo,NSW,-32.445319,148.618178,Developing mine,Rare earth elements 
Duchess,QLD,-21.874555,139.968205,Operating mine,"Fertiliser elements - P,K"
Dugald River,QLD,-20.2545,140.1558,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
East Kundana,WA,-30.72,121.23,Operating mine,"Precious metals - Au, Ag, PGE"
Eastern Range,WA,-23.240985,117.657222,Operating mine,Iron ore
Edna May,WA,-31.2912,118.6998,Operating mine,"Precious metals - Au, Ag, PGE"
Eliwana,WA,-22.495916,116.940854,Operating mine,Iron ore
Eloise,QLD,-20.954853,140.979894,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Endeavor,NSW,-31.162921,145.653796,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Eneabba,WA,-29.631714,115.269641,Developing mine,"Heavy mineral sands - Ti, Zr"
Eneabba Stockpile,WA,-29.88897336,115.3032149,Operating mine,"Heavy mineral sands - Ti, Zr, REE"
Ensham,QLD,-23.454464,148.497455,Operating mine,Coal
Enterprise,WA,-30.3719,121.089,Operating mine,"Precious metals - Au, Ag, PGE"
Ernest Henry,QLD,-20.439829,140.70281,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Ewington,WA,-33.3624,116.25,Operating mine,Coal
Fingal Rail,TAS,-41.8253,147.5076,Operating mine,Bauxite
Finniss,NT,-12.695,130.791,Operating mine,Lithium
Firetail,WA,-22.128667,117.769485,Operating mine,Iron ore
Flying Fox,WA,-32.418462,119.688987,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Fortnum,WA,-25.33,118.36,Operating mine,"Precious metals - Au, Ag, PGE"
Fosterville,VIC,-36.7163,144.5036,Operating mine,"Precious metals - Au, Ag, PGE"
Four Mile,SA,-30.141667,139.529167,Operating mine,Uranium
Foxleigh,QLD,-22.997778,148.803889,Operating mine,Coal
Frances Creek,NT,-13.564163,131.850016,Care and maintenance,Iron ore
Frasers,WA,-31.237,119.3312,Operating mine,"Precious metals - Au, Ag, PGE"
